candles;;;;;;;
;;;;;;;
open;close;high;low;value;volume;begin;end
257.11;257.11;257.11;257.11;5489298.5;21350;16.01.2020 9:00;16.01.2020 9:59
257.11;258.93;259.51;257.11;2197039281;8501910;16.01.2020 10:00;16.01.2020 10:59
258.93;257.8;259.24;257.75;1529683577;5921730;16.01.2020 11:00;16.01.2020 11:59
257.76;257.14;258.23;256.55;1576931008;6125160;16.01.2020 12:00;16.01.2020 12:59
257.14;257.22;257.89;256.5;1110133600;4314860;16.01.2020 13:00;16.01.2020 13:59
257.2;257.02;257.27;256.77;696553890.3;2710210;16.01.2020 14:00;16.01.2020 14:59
257.04;257.18;257.5;257;531583082.8;2066180;16.01.2020 15:00;16.01.2020 15:59
257.18;256.2;257.2;256.12;744429308.1;2900300;16.01.2020 16:00;16.01.2020 16:59
256.24;257.08;257.31;256.1;877367725.4;3414770;16.01.2020 17:00;16.01.2020 17:59
257.08;257.51;257.51;256.73;1098459600;4270300;16.01.2020 18:00;16.01.2020 18:59
258.2;258.2;258.2;258.2;5925690;22950;17.01.2020 9:00;17.01.2020 9:59
258.2;259.9;259.99;257.75;1877448435;7252230;17.01.2020 10:00;17.01.2020 10:59
259.85;260.9;261.25;259.45;1971855313;7573050;17.01.2020 11:00;17.01.2020 11:59
260.9;260.72;261.43;260.5;1046931476;4012050;17.01.2020 12:00;17.01.2020 12:59
260.72;261;261.88;260.57;1147470864;4392840;17.01.2020 13:00;17.01.2020 13:59
260.99;262.35;262.36;260.88;1193089921;4558910;17.01.2020 14:00;17.01.2020 14:59
262.35;262.32;262.82;261.71;919140028;3503850;17.01.2020 15:00;17.01.2020 15:59
262.32;262.1;262.8;261.81;936627433.9;3569190;17.01.2020 16:00;17.01.2020 16:59
262.07;262.7;262.77;261.89;1177145935;4484210;17.01.2020 17:00;17.01.2020 17:59
262.7;262.5;262.77;262.01;1455338136;5545010;17.01.2020 18:00;17.01.2020 18:59
